chip,nmos,pattern,fet_size,filename,Vth_Vd1V,Vth_Vd5V,Vth_Vd10V,Vth_Vd200mV,Vd_ref_V,Ion_A,Ioff_A,Ron_ohm,Roff_ohm,Ion_Ioff_ratio
50,1,7,nmos1_pattern7,nmos1 pattern7 chip50.xls,3.3880179692656,3.668602711671515,3.384674530973061,2.148266345349098,5.0,0.0024554403498768806,1.5783058415763662e-07,2036.2946305133037,31679538.073597603,15557.443210274492
50,2,1,nmos2_pattern1,nmos2 pattern1 chip50.xls,3.3634714208927017,3.804731224927735,3.787971847083409,2.6586944855813037,5.0,0.002624583663418889,2.0771403796970844e-06,1905.0640563260984,2407155.5533137172,1263.5562281070477
50,2,2,nmos2_pattern2,nmos2 pattern2 chip50.xls,3.242457950789878,3.626575817815446,3.798323265172718,2.6629135266510655,5.0,0.0026878213975578547,9.410483414740156e-08,1860.2426502530946,53132233.272609845,28561.990698031226
50,2,3,nmos2_pattern3,nmos2 pattern3 chip50.xls,2.41319121122499,3.3257193544803316,3.2082226010906205,1.167005569639965,5.0,0.0024996476713567972,1.5436619378306204e-06,2000.2819026435127,3239051.166233153,1619.297341016044
50,2,4,nmos2_pattern4,nmos2 pattern4 chip50.xls,2.637234271467696,3.4373197534049575,3.443935279573432,1.8540201970527965,5.0,0.003623745171353221,1.6703170331311412e-05,1379.7879717167975,299344.3700102312,216.94954307926946
50,2,5,nmos2_pattern5,nmos2 pattern5 chip50.xls,3.407404981411834,3.8423257624133083,3.7902367896779356,2.937497436819513,5.0,0.0019581748638302088,3.5620499261312943e-07,2553.3981118621614,14036861.087543622,5497.325709740858
50,2,6,nmos2_pattern6,nmos2 pattern6 chip50.xls,3.5827040680589466,4.315542831036141,4.0574731848562875,2.8632616108564006,5.0,0.0026594463270157576,2.8954525532753905e-07,1880.0905847235676,17268457.72120806,9184.907291978732
50,2,7,nmos2_pattern7,nmos2 pattern7 chip50.xls,3.6443236519261726,4.235989007254811,4.027348066395525,3.04200258694446,5.0,0.00229644519276917,3.2760689805400034e-07,2177.2781757402827,15262193.89671043,7009.758361042326
50,3,1,nmos3_pattern1,nmos3 pattern1 chip50.xls,3.4190169216688906,3.5115022238032383,3.534243731012343,2.1324733235808235,5.0,0.0017395218601450324,1.703478915260348e-06,2874.3530705518847,2935169.878070275,1021.1584332284946
50,3,2,nmos3_pattern2,nmos3 pattern2 chip50.xls,3.313667640231615,3.6680525695598876,3.5940784936718644,2.5440346423058564,5.0,0.00246786093339324,6.307144673201037e-08,2026.04609212122,79275175.36175957,39128.021652636955
50,3,3,nmos3_pattern3,nmos3 pattern3 chip50.xls,2.2530931324105326,2.9210878710644645,2.5836884158417313,1.502738332542083,5.0,0.0031836272682994604,1.8211533188150497e-06,1570.5356119376243,2745512.9386104057,1748.1379713658139
50,3,5,nmos3_pattern5,nmos3 pattern5 chip50.xls,3.6003217351178316,3.8979598749919515,3.771187862121629,2.756341536205362,5.0,0.0018204444786533713,1.838833867395806e-07,2746.5819796375367,27191145.91401942,9899.994289486967
50,3,6,nmos3_pattern6,nmos3 pattern6 chip50.xls,3.154775771648236,3.3572373002083142,3.709368338313974,2.594361712218535,5.0,0.0025423269253224134,1.7864824997104733e-07,1966.702216854313,27987959.58432465,14230.908647212811
50,3,7,nmos3_pattern7,nmos3 pattern7 chip50.xls,3.387452531494145,3.5542120603459053,4.025907066829505,2.611054345461017,5.0,0.002423445228487253,4.779115556630131e-07,2063.1784623088292,10462186.864394674,5070.9073672118575
50,4,1,nmos4_pattern1,nmos4 pattern1 chip50.xls,3.404677686283261,3.6857328394635442,3.5879495000718133,2.4732046759296384,5.0,0.0017852344317361712,3.1657148724661965e-07,2800.7526132785897,15794220.899321975,5639.2773943833245
50,4,2,nmos4_pattern2,nmos4 pattern2 chip50.xls,2.8252384116743605,3.362488796776023,2.769633183855881,2.2973788850671215,5.0,0.002021951135247946,7.05916747278934e-08,2472.8589691594425,70829882.12524037,28642.912114521594
50,4,4,nmos4_pattern4,nmos4 pattern4 chip50.xls,0.42110286922154017,2.432711489218185,2.531954530711604,0.0022643058315749975,5.0,0.0027187862433493137,2.4442992980766576e-06,1839.055943522954,2045576.0077885482,1112.2967819401827
50,4,5,nmos4_pattern5,nmos4 pattern5 chip50.xls,3.516251243362547,3.710838420526218,3.6369159562136644,2.717216428708248,5.0,0.0010735031682997942,3.017784990788641e-07,4657.648107288738,16568443.461882764,3557.2553100254318
50,4,6,nmos4_pattern6,nmos4 pattern6 chip50.xls,2.601793731230582,3.2908489500807194,3.153367266876813,2.1693982025527285,5.0,0.002216362627223134,1.6735334895656706e-07,2255.948525113179,29876904.35342075,13243.61084520838
50,4,7,nmos4_pattern7,nmos4 pattern7 chip50.xls,3.268567103913649,3.4350291172824954,3.2938842605646355,2.430090056014313,5.0,0.0018021876458078623,5.417409738583956e-07,2774.405879227222,9229503.104387555,3326.659294334513
